,good address,compare address,label
61,13795 love center,13795 lokve center,1
62,11666 satellite parkway,11666 satele parkway,1
63,5374 tulip street,7191 tulip center,0
64,1835 beacon avenue,1835 bepacxon avenue,1
65,9736 burdensomely place,9736 burensmy place,1
66,9501 computer way,6788 main highway,0
67,1727 window terrace,1727 wwindoxw terrace,1
68,6507 chrysanthemum highway,14765 main way,0
69,8849 machine lane,8849 machisnse lane,1
70,2833 bar lane,2833 baxr lane,1
71,6951 experience parkway,4412 exposure way,0
72,7076 hair dryer place,8680 bear center,0
73,11149 car place,14181 to place,0
74,11396 money highway,11396 meconey highway,1
75,2132 spirit boulevard,9179 main avenue,0
76,1522 cello center,7631 main way,0
77,13314 cloud terrace,13314 cud terrace,1
78,3645 bird lane,3645 birxd lane,1
79,11752 burdensome place,11752 burdsom place,1
80,1914 chilli road,1914 chil road,1
81,310 smartphone square,310 smartne square,1
82,11282 acrobat square,11282 acrbt square,1
83,6412 bear terrace,6412 behar terrace,1
84,12615 book terrace,12615 bok terrace,1
85,738 hat parkway,738 ha parkway,1
86,7235 branch place,14602 main center,0
87,3195 memory center,3195 metumory center,1
88,6686 beard center,6686 bpeazrd center,1
89,412 cat boulevard,11987 ct boulevard,0
90,8190 energy lane,7601 main highway,0
91,3240 plane highway,8943 main way,0
92,3713 oak tree road,3713 ok tree,1
93,8102 chuck center,8102 chzucak center,1
94,10635 anarchist boulevard,10635 anpayrzchist boulevard,1
95,7657 drill lane,7657 durlill lane,1
96,8131 stapler lane,8131 sltaplezr lane,1
97,8579 glasses highway,8239 main avenue,0
98,12737 bison boulevard,12737 bio boulevard,1
99,13678 stone boulevard,3697 main street,0
100,14198 pillow street,10054 main square,0
101,11362 tree road,11362 trree road,1
102,6063 city parkway,6063 cty parkway,1
103,663 candy place,663 candsby place,1
104,297 fork avenue,3834 main terrace,0
105,1303 ashtray lane,1303 acshtraay lane,1
106,7460 keyboard lane,7460 kbard lane,1
107,7997 leaf place,4499 leaf avenue,0
108,3869 thought parkway,3869 tougt parkway,1
109,8163 cactus street,4518 cacti center,0
110,9018 anvil avenue,9018 avl avenue,1
111,14743 boy square,9367 boy parkway,0
112,5793 arch place,7136 main terrace,0
113,3076 dandelion boulevard,3076 dadeio boulevard,1
114,5548 USB place,1198 main parkway,0
115,6811 chasm terrace,11235 main highway,0
116,8757 burlap way,8757 brla way,1
117,4980 peace center,9317 main terrace,0
118,14447 pencil avenue,14267 pen street,0
119,988 acorn center,988 aicorkn center,1
120,13808 opinion center,13808 otpbinion center,1
121,10429 axe road,10429 axxe road,1
122,10063 abort lane,10063 aborclt lane,1
123,6495 toilet highway,11448 toll-house highway,0
124,6377 stream boulevard,5198 main square,0
125,1723 bike avenue,1723 bke avenue,1
126,3866 marker boulevard,3866 marr boulevard,1
127,6680 table way,8153 table center,0
128,7688 luck terrace,7688 lkuck terrace,1
129,387 star terrace,10503 star square,0
130,4279 spoon way,4773 main center,0
131,12152 bacon center,12152 bsacoan center,1
132,2691 ant highway,2691 aent highway,1
133,1683 idea highway,1683 ide highway,1
134,5606 wrench lane,9920 main square,0
135,14376 buried lane,10673 main road,0
136,14754 laptop lane,14754 laptiowp lane,1
137,5603 screwdriver highway,5603 screwie highway,1
138,9747 a square,9747 a square,1
139,2484 time highway,2210 month avenue,0
140,10151 inspiration place,9198 inspiration terrace,0
141,4485 hope terrace,5984 Honeydew place,0
142,14305 bag lane,1145 main way,0
143,12775 mobile parkway,12775 mrobiqle parkway,1
144,14084 house center,14084 hse center,1
145,2977 calculator square,1092 main road,0
146,2872 antenna way,12783 main center,0
147,9183 tool lane,9183 togol lane,1
148,5569 camera lane,5569 camferaa lane,1
149,6010 cucumber parkway,12759 main avenue,0
150,11490 pencil sharpener avenue,6657 main lane,0
151,14307 astronaut highway,8977 main boulevard,0
152,655 apple road,13238 banana way,0
153,4310 cupcake terrace,4310 cupce terrace,1
154,7825 principle road,7825 prikunciaple road,1
155,3767 toolbox highway,377 main way,0
156,11751 wheel place,6948 main parkway,0
157,189 electric screwdriver avenue,189 eilecdktric screwdriver,1
158,12515 burdens parkway,5749 main parkway,0
159,5334 tablet place,5553 main road,0
160,1803 bread boulevard,13469 bread street,0
161,6381 broom way,11352 broom boulevard,0
162,12182 owl way,12182 ow way,1
163,8454 door terrace,8454 dor terrace,1
164,6578 bug lane,6578 bg lane,1
165,5069 arm avenue,5069 ar avenue,1
166,8892 anchor parkway,7687 main square,0
167,689 flower terrace,3191 main parkway,0
168,4582 chalk lane,14642 main square,0
169,8322 boat terrace,8174 boat lane,0
170,14698 rock street,14698 rck street,1
171,9934 arrow boulevard,2715 arrow-shaped street,0
172,681 belief parkway,681 beljfief parkway,1
173,12132 ball place,13087 boll lane,0
174,2634 hammer place,2634 hammeepr place,1
175,6389 phone road,6389 poe road,1
176,6089 toilet paper highway,6089 tlet paper,1
177,6464 joy street,396 joey street,0
178,11159 aircraft avenue,209 main road,0
179,6877 cheese street,6877 chepesce street,1
180,679 paper lane,8322 paiper center,0
181,362 bald place,362 bgald place,1
182,3387 toothbrush road,14776 toof road,0
183,3629 angry road,3629 agr road,1
184,4369 pen highway,8963 main center,0
185,3502 electric car street,994 ect avenue,0
186,2452 crab boulevard,8825 main boulevard,0
187,8207 banana road,8207 batdnana road,1
188,11114 spotted owl parkway,11114 sfcpotted owl,1
189,11344 grass terrace,12511 main boulevard,0
190,2297 router parkway,2297 roer parkway,1
191,11172 snail place,14448 main avenue,0
192,12384 chicken square,10326 chicken highway,0
193,4236 chair road,4236 cbhaoir road,1
194,10535 bicycle place,3733 unicycle street,0
195,10127 couch way,10127 coh way,1
196,2095 concept street,2095 cocpt street,1
197,1212 burdock parkway,1212 burdxoeck parkway,1
198,5954 bat road,5583 main way,0
199,12533 bus parkway,5308 main street,0
200,6905 emotion lane,3173 emotion way,0
201,9801 ambulance square,9801 amulnc square,1
202,14877 chimpanzee terrace,14877 chipane terrace,1
203,9277 crocodile center,10416 crocked square,0
204,6240 barge parkway,6240 brg parkway,1
205,13917 data avenue,1162 date square,0
206,2919 mind square,2919 mnd square,1
207,12996 straw avenue,12996 sntriaw avenue,1
208,7752 furniture way,7522 main center,0
209,7902 watch highway,726 main boulevard,0
210,8730 sea place,8730 se place,1
211,472 cookie parkway,1609 main center,0
212,3661 motorcycle square,3661 moorcyl square,1
213,2472 mountain parkway,10519 mountain highway,0
214,4897 love place,13920 main highway,0
215,4882 satellite street,3690 main boulevard,0
216,1300 tulip center,4236 main center,0
217,5050 beacon avenue,5050 beacobbn avenue,1
218,3798 burdensomely square,814 main lane,0
219,5222 computer square,5222 cmptr square,1
220,9309 window boulevard,3492 main center,0
221,4881 chrysanthemum highway,4881 chrantemu highway,1
222,5950 machine boulevard,5950 machlwine boulevard,1
223,11272 bar street,11272 br street,1
224,1068 experience center,7650 main square,0
225,13322 hair dryer lane,7157 hair avenue,0
226,7156 car avenue,7156 caqr avenue,1
227,5032 money center,8463 mony street,0
228,8037 spirit highway,3033 main terrace,0
229,10349 cello boulevard,11669 celery lane,0
230,9768 cloud street,10276 ycloud highway,0
231,6773 bird place,6773 bigrd place,1
232,7580 burdensome center,313 main terrace,0
233,6564 chilli place,6564 chmiulli place,1
234,10610 smartphone highway,14520 smartphone way,0
235,9741 acrobat highway,9741 acburobat highway,1
236,13694 bear center,13694 bar center,1
237,13130 book terrace,13130 bfook terrace,1
238,10981 hat lane,10981 hkat lane,1
239,3226 branch boulevard,3226 bran boulevard,1
240,14209 memory place,14209 memeorny place,1
241,7672 beard place,4717 main center,0
242,5098 cat square,5098 ca square,1
243,7202 energy street,7202 enry street,1
244,14586 plane way,5676 main parkway,0
245,10749 oak tree road,10749 oa tree,1
246,5309 chuck parkway,5309 chuinck parkway,1
247,9732 anarchist lane,10314 main avenue,0
248,1360 drill lane,594 main street,0
249,5614 stapler highway,3161 main terrace,0
250,6368 glasses terrace,9958 glasses square,0
251,9356 bison way,3094 shrew center,0
252,11535 stone way,11535 sne way,1
253,6883 pillow lane,6866 main center,0
254,11295 tree lane,10008 try boulevard,0
255,5475 city square,5475 cifty square,1
256,111 candy boulevard,1152 candy parkway,0
257,12776 fork avenue,12776 frk avenue,1
258,7538 ashtray road,6456 main street,0
259,830 keyboard terrace,830 koard terrace,1
260,9185 leaf place,9185 leaaf place,1
261,2767 thought terrace,205 main avenue,0
262,1946 cactus highway,2336 cactus place,0
263,2260 anvil street,2260 aynvwil street,1
264,5007 boy road,3580 boy road,0
265,1353 arch boulevard,13462 main road,0
266,6856 dandelion square,6903 dandellion center,0
267,10558 USB highway,14100 USB-J square,0
268,6175 chasm street,6175 chhaszm street,1
269,11845 burlap boulevard,11845 brla boulevard,1
270,14708 peace center,1535 peacemaker parkway,0
271,2711 pencil place,4470 pen highway,0
272,2875 acorn place,2875 aycojrn place,1
273,12157 opinion center,12157 opinwioen center,1
274,8780 axe avenue,8780 afxe avenue,1
275,9331 abort road,2184 main square,0
276,8950 toilet lane,2712 main boulevard,0
277,548 stream parkway,12499 main street,0
278,11641 bike parkway,11641 bke parkway,1
279,2914 marker place,3416 molder avenue,0
280,13415 table place,13415 tle place,1
281,9065 luck center,5212 main avenue,0
282,2193 star lane,5375 main avenue,0
283,12246 spoon place,12246 sxmpoon place,1
284,14339 bacon terrace,14339 bawtcon terrace,1
285,13624 ant boulevard,13624 at boulevard,1
286,230 idea square,14703 eida road,0
287,3434 wrench highway,13998 main terrace,0
288,8235 buried highway,8235 bjzuried highway,1
289,14583 laptop lane,5757 hat boulevard,0
290,4982 screwdriver way,4982 scrdrvr way,1
291,4782 a avenue,14641 main place,0
292,7341 time boulevard,7341 twime boulevard,1
293,5663 inspiration center,5663 inirati center,1
294,4738 hope parkway,14943 hope square,0
295,6550 bag way,2004 tag parkway,0
296,6239 mobile place,13397 male road,0
297,12814 house boulevard,12814 hos boulevard,1
298,6683 calculator lane,6683 calkcsulaotor lane,1
299,10082 antenna parkway,352 main center,0
300,7907 tool center,317 main road,0
301,4423 camera road,1507 main road,0
302,2265 cucumber center,2265 cumbr center,1
303,13957 pencil sharpener highway,13762 pin road,0
304,191 astronaut highway,191 avstypronaut highway,1
305,1209 apple square,1209 app square,1
